,47,jurisdiction_name,count_participants,count_female,percent_female,count_male,percent_male,count_gender_unknown,percent_gender_unknown,count_gender_total,percent_gender_total,count_pacific_islander,percent_pacific_islander,count_hispanic_latino,percent_hispanic_latino,count_american_indian,percent_american_indian,count_asian_non_hispanic,percent_asian_non_hispanic,count_white_non_hispanic,percent_white_non_hispanic,count_black_non_hispanic,percent_black_non_hispanic,count_other_ethnicity,percent_other_ethnicity,count_ethnicity_unknown,percent_ethnicity_unknown,count_ethnicity_total,percent_ethnicity_total,count_permanent_resident_alien,percent_permanent_resident_alien,count_us_citizen,percent_us_citizen,count_other_citizen_status,percent_other_citizen_status,count_citizen_status_unknown,percent_citizen_status_unknown,count_citizen_status_total,percent_citizen_status_total,count_receives_public_assistance,percent_receives_public_assistance,count_nreceives_public_assistance,percent_nreceives_public_assistance,count_public_assistance_unknown,percent_public_assistance_unknown,count_public_assistance_total,percent_public_assistance_total
0,48,10001,44,22,0.5,22,0.5,0,0.0,44,1.0,0,0.0,16,0.36,0,0.0,3,0.07,1,0.02,21,0.48,3,0.07,0,0.0,44,1.0,2,0.05,42,0.95,0,0.0,0,0.0,44,1.0,20,0.45,24,0.55,0,0.0,44,1.0
1,49,10002,35,19,0.54,16,0.46,0,0.0,35,1.0,0,0.0,1,0.03,0,0.0,28,0.8,6,0.17,0,0.0,0,0.0,0,0.0,35,1.0,2,0.06,33,0.94,0,0.0,0,0.0,35,1.0,2,0.06,33,0.94,0,0.0,35,1.0
2,50,10003,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,1,1.0
3,51,10004,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,52,10005,2,2,1.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,1.0,1,0.5,1,0.5,0,0.0,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,2,1.0
5,53,10006,6,2,0.33,4,0.67,0,0.0,6,1.0,0,0.0,2,0.33,0,0.0,0,0.0,1,0.17,3,0.5,0,0.0,0,0.0,6,1.0,0,0.0,6,1.0,0,0.0,0,0.0,6,1.0,0,0.0,6,1.0,0,0.0,6,1.0
6,54,10007,1,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,1,1.0
7,55,10009,2,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,2,1.0
8,56,10010,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9,57,10011,3,2,0.67,1,0.33,0,0.0,3,1.0,0,0.0,1,0.33,0,0.0,0,0.0,0,0.0,1,0.33,1,0.33,0,0.0,3,0.99,0,0.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,3,1.0,0,0.0,3,1.0
